zip_code,longitude,latitude
03842,18.882,48.9888
03843,18.823,48.9722
03844,18.8443,48.9401
03845,18.8393,48.9029
03846,18.8846,48.825
03847,18.8295,48.7862
03848,18.9212,48.7594
03851,19.0232,49.0865
03852,18.9907,49.0999
03853,19.0403,49.1175
03854,19.0833,49.1333
03861,18.9171,49.1133
03901,18.9042,48.848
03912,18.8605,48.8623
03914,18.8605,48.8623
03917,18.8605,48.8623
03919,18.8605,48.8623
03946,18.8605,48.8623
04001,21.2562,48.71
04002,21.2059,48.7759
04003,21.2059,48.7759
04004,21.2059,48.7759
04005,21.2059,48.7759
04007,21.2059,48.7759
04008,21.2059,48.7759
04010,21.2776,48.6896
04011,21.2298,48.7109
04012,21.2776,48.6896
04013,21.3244,48.7017
04014,21.2973,48.7334
04015,21.1709,48.6353
04016,21.184,48.7067
04017,21.2917,48.6489
04018,21.3814,48.606
04019,21.2776,48.6896
04020,21.2673,48.7019
04022,21.2847,48.7358
04023,21.2127,48.7147
04031,21.2673,48.7019
04032,21.2673,48.7019
04034,21.2673,48.7019
04039,21.2673,48.7019
04041,21.2673,48.7019
04042,21.2673,48.7019
04045,21.2673,48.7019
04046,21.2673,48.7019
04050,21.2673,48.7019
04053,21.2673,48.7019
04055,21.2673,48.7019
04057,21.2673,48.7019
04058,21.2673,48.7019
04059,21.2673,48.7019
04060,21.2673,48.7019
04064,21.2673,48.7019
04065,21.2673,48.7019
04066,21.2673,48.7019
04073,21.2673,48.7019
04074,21.2673,48.7019
04075,21.2673,48.7019
04077,21.2673,48.7019
04079,21.2673,48.7019
04081,21.2673,48.7019
04082,21.2673,48.7019
04083,21.2673,48.7019
04085,21.2673,48.7019
04087,21.2673,48.7019
04089,21.2673,48.7019
04100,20.9367,48.6777
04102,20.9367,48.6777
04103,20.9367,48.6777
04105,20.9367,48.6777
04107,20.9367,48.6777
04108,20.9367,48.6777
04109,20.9367,48.6777
04110,20.9367,48.6777
04111,20.9367,48.6777
04112,20.9367,48.6777
04114,20.9367,48.6777
04115,20.9367,48.6777
04117,20.9367,48.6777
04118,20.9367,48.6777
04119,20.9367,48.6777
04120,20.9367,48.6777
04121,20.9367,48.6777
04122,20.9367,48.6777
04123,20.9367,48.6777
04124,20.9367,48.6777
04125,20.9367,48.6777
04126,20.9367,48.6777
04127,20.9367,48.6777
04128,20.9367,48.6777
04130,20.9367,48.6777
04134,20.9367,48.6777
04137,20.9367,48.6777
04139,20.9367,48.6777
04140,20.9367,48.6777
04141,20.9367,48.6777
04142,20.9367,48.6777
04145,20.9367,48.6777
