Code Cube,Title
ps3808rr,"Numbers and proportions of households by intervals of monthly equivalised disposable income by region"
Last update,2025-05-02

Code Dimension,Code Dimension,Code Dimension,Code Dimension,Data
nuts13,ps3808rr_rok,ps3808rr_int,ps3808rr_mj
Code Element,Code Element,Code Element,Code Element,Value
SK031,2016,P_INT_3,mj_podiel_dom,4.5
SK031,2016,P_INT_4,mj_pocet_dom,26105
SK031,2016,P_INT_4,mj_podiel_dom,11.9
SK031,2016,P_INT_5,mj_pocet_dom,43358
SK031,2016,P_INT_5,mj_podiel_dom,19.8
SK031,2016,P_INT_6,mj_pocet_dom,41218
SK031,2016,P_INT_6,mj_podiel_dom,18.8
SK031,2016,P_INT_7,mj_pocet_dom,34699
SK031,2016,P_INT_7,mj_podiel_dom,15.9
SK031,2016,P_INT_8,mj_pocet_dom,25541
SK031,2016,P_INT_8,mj_podiel_dom,11.7
SK031,2016,P_INT_9,mj_pocet_dom,11985
SK031,2016,P_INT_9,mj_podiel_dom,5.5
SK031,2016,P_INT_10,mj_pocet_dom,9058
SK031,2016,P_INT_10,mj_podiel_dom,4.1
SK031,2016,P_INT_11,mj_pocet_dom,11842
SK031,2016,P_INT_11,mj_podiel_dom,5.4
SK032,2016,P_INT_spolu,mj_pocet_dom,240183
SK032,2016,P_INT_spolu,mj_podiel_dom,100
SK032,2016,P_INT_1,mj_pocet_dom,7263
SK032,2016,P_INT_1,mj_podiel_dom,3
SK032,2016,P_INT_2,mj_pocet_dom,8874
SK032,2016,P_INT_2,mj_podiel_dom,3.7
SK032,2016,P_INT_3,mj_pocet_dom,8562
SK032,2016,P_INT_3,mj_podiel_dom,3.6
SK032,2016,P_INT_4,mj_pocet_dom,23718
SK032,2016,P_INT_4,mj_podiel_dom,9.9
SK032,2016,P_INT_5,mj_pocet_dom,49431
SK032,2016,P_INT_5,mj_podiel_dom,20.6
SK032,2016,P_INT_6,mj_pocet_dom,46142
SK032,2016,P_INT_6,mj_podiel_dom,19.2
SK032,2016,P_INT_7,mj_pocet_dom,32686
SK032,2016,P_INT_7,mj_podiel_dom,13.6
SK032,2016,P_INT_8,mj_pocet_dom,24022
SK032,2016,P_INT_8,mj_podiel_dom,10
SK032,2016,P_INT_9,mj_pocet_dom,18371
SK032,2016,P_INT_9,mj_podiel_dom,7.6
SK032,2016,P_INT_10,mj_pocet_dom,9671
SK032,2016,P_INT_10,mj_podiel_dom,4
SK032,2016,P_INT_11,mj_pocet_dom,11443
SK032,2016,P_INT_11,mj_podiel_dom,4.8
SK04,2016,P_INT_spolu,mj_pocet_dom,499277
SK04,2016,P_INT_spolu,mj_podiel_dom,100
SK04,2016,P_INT_1,mj_pocet_dom,4543
SK04,2016,P_INT_1,mj_podiel_dom,0.9
SK04,2016,P_INT_2,mj_pocet_dom,16445
SK04,2016,P_INT_2,mj_podiel_dom,3.3
SK04,2016,P_INT_3,mj_pocet_dom,22599
SK04,2016,P_INT_3,mj_podiel_dom,4.5
SK04,2016,P_INT_4,mj_pocet_dom,52653
SK04,2016,P_INT_4,mj_podiel_dom,10.5
SK04,2016,P_INT_5,mj_pocet_dom,88292
SK04,2016,P_INT_5,mj_podiel_dom,17.7
SK04,2016,P_INT_6,mj_pocet_dom,104538
SK04,2016,P_INT_6,mj_podiel_dom,20.9
SK04,2016,P_INT_7,mj_pocet_dom,80969
SK04,2016,P_INT_7,mj_podiel_dom,16.2
